가해당사자종,피해당사자종,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,승용차,66819,161,10805,99673,5384
승용차,승합차,4318,26,939,7330,681
승용차,화물차,7079,71,1533,9092,628
승용차,특수차,446,4,91,545,41
승용차,이륜차,16466,111,6066,11329,700
승용차,사륜오토바이(ATV),98,6,56,40,2
승용차,원동기장치자전거,1628,13,571,1141,88
승용차,자전거,4905,50,1658,3056,235
승용차,개인형이동장치(PM),913,9,308,620,59
승용차,건설기계,531,7,123,584,55
승용차,농기계,185,14,114,112,9
승용차,보행자,23465,522,8337,14335,1333
승용차,기타/불명,2856,205,1218,1757,541
승합차,승용차,3963,15,720,6002,363
승합차,승합차,379,1,141,999,134
승합차,화물차,503,9,145,733,53
승합차,특수차,42,1,4,52,7
승합차,이륜차,872,14,334,581,43
승합차,사륜오토바이(ATV),6,1,2,3,0
승합차,원동기장치자전거,85,2,36,51,2
승합차,자전거,315,7,121,176,17
승합차,개인형이동장치(PM),49,1,22,25,6
승합차,건설기계,31,1,18,61,6
승합차,농기계,10,0,7,6,1
승합차,보행자,2472,82,1000,1343,177
승합차,기타/불명,1937,10,728,1395,197
화물차,승용차,12039,59,2356,16763,802
화물차,승합차,731,9,214,1421,116
화물차,화물차,2483,96,764,3064,218
화물차,특수차,131,9,32,145,9
화물차,이륜차,2213,52,924,1333,82
화물차,사륜오토바이(ATV),34,1,16,16,2
화물차,원동기장치자전거,230,8,88,136,9
화물차,자전거,881,29,393,434,31
화물차,개인형이동장치(PM),115,5,46,64,6
화물차,건설기계,189,16,56,179,12
화물차,농기계,95,14,55,44,8
화물차,보행자,4410,213,1970,2213,188
화물차,기타/불명,682,119,330,282,101
특수차,승용차,718,8,145,926,60
특수차,승합차,31,0,8,67,2
특수차,화물차,143,9,57,170,7
특수차,특수차,36,1,13,41,2
특수차,이륜차,59,2,28,37,0
특수차,원동기장치자전거,2,0,0,2,0
특수차,자전거,18,0,10,7,1
특수차,개인형이동장치(PM),3,0,2,1,0
특수차,건설기계,14,0,2,17,0
특수차,농기계,2,0,1,1,0
특수차,보행자,91,12,36,41,3
특수차,기타/불명,31,6,11,12,5
이륜차,승용차,7469,86,1729,7762,1348
이륜차,승합차,575,24,161,497,130
이륜차,화물차,899,47,273,617,141
이륜차,특수차,32,2,15,12,6
이륜차,이륜차,1904,12,760,1533,202
이륜차,사륜오토바이(ATV),4,2,1,4,0
이륜차,원동기장치자전거,40,0,15,30,3
이륜차,자전거,521,4,202,302,52
이륜차,개인형이동장치(PM),119,0,45,80,17
이륜차,건설기계,53,8,27,12,8
이륜차,농기계,15,3,7,7,1
이륜차,보행자,2831,39,1229,1728,224
이륜차,기타/불명,1470,175,539,508,325
사륜오토바이(ATV),승용차,88,5,35,63,7
사륜오토바이(ATV),승합차,3,1,1,1,0
사륜오토바이(ATV),화물차,24,3,9,15,3
사륜오토바이(ATV),이륜차,9,1,4,3,1
사륜오토바이(ATV),사륜오토바이(ATV),4,0,1,4,0
사륜오토바이(ATV),자전거,4,0,1,1,2
사륜오토바이(ATV),개인형이동장치(PM),1,0,1,0,0
사륜오토바이(ATV),건설기계,3,0,1,2,0
사륜오토바이(ATV),보행자,20,1,7,11,1
사륜오토바이(ATV),기타/불명,110,16,46,46,14
원동기장치자전거,승용차,944,15,214,952,172
원동기장치자전거,승합차,69,3,25,55,16
원동기장치자전거,화물차,116,6,46,55,29
원동기장치자전거,특수차,3,1,1,1,0
원동기장치자전거,이륜차,41,0,13,35,5
원동기장치자전거,원동기장치자전거,194,0,69,163,21
원동기장치자전거,자전거,98,1,36,71,8
원동기장치자전거,개인형이동장치(PM),16,0,4,15,0
원동기장치자전거,건설기계,3,1,0,1,1
원동기장치자전거,농기계,3,0,2,1,0
원동기장치자전거,보행자,379,4,144,232,27
원동기장치자전거,기타/불명,231,24,100,75,48
자전거,승용차,2112,28,481,1189,543
자전거,승합차,194,2,63,108,44
자전거,화물차,374,11,126,168,78
자전거,특수차,7,0,2,4,1
자전거,이륜차,303,1,104,202,69
자전거,사륜오토바이(ATV),1,0,0,1,0
자전거,원동기장치자전거,40,0,8,29,13
자전거,자전거,706,6,291,437,153
자전거,개인형이동장치(PM),37,0,19,19,12
자전거,건설기계,15,2,3,6,4
자전거,보행자,1337,2,430,833,188
자전거,기타/불명,267,39,81,72,75
개인형이동장치(PM),승용차,657,10,166,446,186
개인형이동장치(PM),승합차,40,2,12,31,12
개인형이동장치(PM),화물차,75,1,18,43,21
개인형이동장치(PM),특수차,2,0,1,1,0
개인형이동장치(PM),이륜차,130,0,58,89,26
개인형이동장치(PM),원동기장치자전거,13,0,2,12,2
개인형이동장치(PM),자전거,133,0,54,85,17
개인형이동장치(PM),개인형이동장치(PM),24,0,12,17,6
개인형이동장치(PM),건설기계,1,1,0,0,0
개인형이동장치(PM),농기계,1,0,1,0,0
개인형이동장치(PM),보행자,1042,2,250,743,109
개인형이동장치(PM),기타/불명,268,10,56,119,89
건설기계,승용차,1470,6,303,1817,78
건설기계,승합차,55,2,30,117,12
건설기계,화물차,197,2,73,215,8
건설기계,특수차,12,0,2,14,0
건설기계,이륜차,97,8,49,45,4
건설기계,사륜오토바이(ATV),3,1,2,0,0
건설기계,원동기장치자전거,17,1,8,8,1
건설기계,자전거,49,8,20,19,2
건설기계,개인형이동장치(PM),3,1,1,1,0
건설기계,건설기계,32,1,5,28,1
건설기계,농기계,4,0,3,1,0
건설기계,보행자,193,24,110,60,4
건설기계,기타/불명,43,9,15,15,5
농기계,승용차,106,4,28,131,6
농기계,승합차,11,2,2,8,2
농기계,화물차,46,0,15,36,7
농기계,이륜차,14,2,10,1,2
농기계,사륜오토바이(ATV),1,0,1,0,0
농기계,원동기장치자전거,2,0,1,1,0
농기계,자전거,5,0,3,1,1
농기계,건설기계,1,0,0,1,0
농기계,농기계,1,0,1,1,0
농기계,보행자,13,0,9,3,1
농기계,기타/불명,130,50,57,30,7
기타/불명,승용차,640,0,58,675,118
기타/불명,승합차,85,0,9,85,25
기타/불명,화물차,71,0,8,82,13
기타/불명,특수차,2,0,0,3,0
기타/불명,이륜차,298,0,50,185,71
기타/불명,사륜오토바이(ATV),2,0,0,1,1
기타/불명,원동기장치자전거,41,0,9,22,10
기타/불명,자전거,242,0,56,124,65
기타/불명,개인형이동장치(PM),43,0,8,28,8
기타/불명,건설기계,4,0,0,2,2
기타/불명,농기계,3,0,1,1,1
기타/불명,보행자,1032,0,104,632,307
기타/불명,기타/불명,40,2,9,32,10
