도로종류,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,승용차,13299,224,3540,16314,1135
일반국도,승합차,1104,14,357,1301,130
일반국도,화물차,3276,116,1066,3770,268
일반국도,특수차,187,7,57,218,19
일반국도,이륜차,1438,70,438,1206,231
일반국도,사륜오토바이(ATV),24,3,14,11,2
일반국도,원동기장치자전거,151,5,49,110,29
일반국도,자전거,345,11,108,178,85
일반국도,개인형이동장치(PM),187,3,48,122,42
일반국도,건설기계,359,12,124,415,21
일반국도,농기계,23,3,6,26,2
일반국도,기타/불명,195,0,27,147,57
지방도,승용차,7988,139,2374,9203,850
지방도,승합차,546,15,231,555,78
지방도,화물차,1989,72,674,2242,164
지방도,특수차,87,2,25,114,5
지방도,이륜차,907,57,304,654,172
지방도,사륜오토바이(ATV),45,6,21,23,4
지방도,원동기장치자전거,113,4,34,77,21
지방도,자전거,209,6,63,111,44
지방도,개인형이동장치(PM),113,1,22,73,26
지방도,건설기계,163,7,49,181,12
지방도,농기계,57,7,23,43,6
지방도,기타/불명,97,0,19,69,25
특별광역시도,승용차,51545,290,11401,58985,3323
특별광역시도,승합차,4524,41,1243,4500,313
특별광역시도,화물차,7486,96,1923,7808,420
특별광역시도,특수차,323,5,87,357,13
특별광역시도,이륜차,7336,102,2202,6198,1189
특별광역시도,사륜오토바이(ATV),24,1,6,18,2
특별광역시도,원동기장치자전거,931,13,260,783,144
특별광역시도,자전거,2498,25,702,1466,578
특별광역시도,개인형이동장치(PM),805,9,198,564,148
특별광역시도,건설기계,692,23,155,724,35
특별광역시도,농기계,6,0,1,4,1
특별광역시도,기타/불명,1192,1,125,924,259
시도,승용차,41840,369,10496,47114,2923
시도,승합차,3438,52,1057,3550,293
시도,화물차,7170,154,2038,7704,383
시도,특수차,302,6,70,324,26
시도,이륜차,4743,124,1563,3929,659
시도,사륜오토바이(ATV),68,9,25,39,11
시도,원동기장치자전거,621,18,196,511,95
시도,자전거,1447,31,440,792,301
시도,개인형이동장치(PM),880,11,255,554,176
시도,건설기계,659,14,186,691,23
시도,농기계,78,10,27,62,4
시도,기타/불명,579,0,71,396,177
군도,승용차,4172,77,1492,4408,345
군도,승합차,240,6,117,270,24
군도,화물차,1462,71,635,1256,90
군도,특수차,25,0,11,22,1
군도,이륜차,576,26,242,371,67
군도,사륜오토바이(ATV),71,7,26,37,7
군도,원동기장치자전거,116,10,44,60,20
군도,자전거,162,9,56,86,29
군도,개인형이동장치(PM),31,0,14,12,11
군도,건설기계,83,3,37,82,2
군도,농기계,108,21,40,61,9
군도,기타/불명,37,0,8,29,8
고속국도,승용차,3049,58,809,5107,533
고속국도,승합차,223,12,133,653,113
고속국도,화물차,1229,96,437,1764,163
고속국도,특수차,181,18,45,246,15
고속국도,건설기계,68,0,29,92,10
고속국도,기타/불명,110,0,15,132,19
기타,승용차,7816,42,1707,8483,647
기타,승합차,589,4,140,598,55
기타,화물차,1621,25,471,1550,96
기타,특수차,43,0,18,41,1
기타,이륜차,932,23,254,734,139
기타,사륜오토바이(ATV),34,1,14,18,2
기타,원동기장치자전거,165,5,71,115,18
기타,자전거,732,9,239,435,143
기타,개인형이동장치(PM),370,2,93,261,65
기타,건설기계,151,4,41,155,12
기타,농기계,58,17,30,17,4
기타,기타/불명,293,1,47,175,86
